file,last_commit,blob,blob_size,current_size,status
docs/架构迭代/1、系统架构设计说明/001、核心框架系统架构和功能模块深度剖析.md,31c835ef,f677abdfdb8492b73554346f7a29209ae5b67ad9,55335,55335,OK
docs/架构迭代/1、系统架构设计说明/002、数据库设计与数据架构.md,31c835ef,9484cd99989a7a9334ff9b772094ff346c0128d1,40437,40437,OK
docs/架构迭代/1、系统架构设计说明/003、部署运维与环境配置指南.md,31c835ef,e8dd5202f65bf5b9bea5b1291b243e4c0d737a93,49345,49345,OK
docs/架构迭代/1、系统架构设计说明/004、开发指南与编码规范.md,31c835ef,d983243102c2128c57992e0132212a082caac754,50257,50257,OK
docs/架构迭代/1、系统架构设计说明/10、向量数据库修订施工包.md,5e79b0b6,65ade7d8b015be9428ae8848ac54f7ecc2e2d33a,22166,22166,OK
docs/架构迭代/1、系统架构设计说明/11、架构深潜切面一之日志系统最后施工包.md,001f4ffb,3146be4c0d2917c13a49d47ddc718736b0a196bf,51881,51881,OK
docs/架构迭代/1、系统架构设计说明/12、架构深潜之龙隐于海.md,b4c32dd1,9ee517b8e7827de250b1dfc809876e615f9a34b7,284959,284959,OK
docs/架构迭代/1、系统架构设计说明/12、架构深潜之龙隐于海.pdf,b4c32dd1,33f14adde08d80664191997cf3dadf9a7ae589bc,1460982,1460982,OK
docs/架构迭代/1、系统架构设计说明/13、架构深潜切面一的最后审查.md,b4c32dd1,449c370c262804f2b3c309439989e84313bf2bdf,30551,30551,OK
docs/架构迭代/1、系统架构设计说明/1、架构深潜.md,31c835ef,6fa871f3e78bee53a0c445ee9dfa7022047a5a7d,28798,28798,OK
docs/架构迭代/1、系统架构设计说明/2、切面2架构深潜/1、切面二第三阶段审查.md,b4c32dd1,b5416c3841468847d1dbeb460be6457f8268c87d,4124,4124,OK
docs/架构迭代/1、系统架构设计说明/2、架构文档编写总纲.md,31c835ef,85c2aac391b391d807e73f9af234f7eccc5517cd,86270,86270,OK
docs/架构迭代/1、系统架构设计说明/2、架构深潜之二.md,f2ddadb0,7a1364958f11c844242282088a656fe59a8d0b0c,18135,18135,OK
docs/架构迭代/1、系统架构设计说明/3、架构深潜第二轮审计opus4.8.md,f2ddadb0,37d6e081e9fd85929ff111213b8da27c5f7184db,34930,34930,OK
docs/架构迭代/1、系统架构设计说明/3、物联网项目开发能力扩展评估第一版.md,31c835ef,3a8c954f0e5f82e4a75baa518e6e7cd9b58c1c90,45516,45516,OK
docs/架构迭代/1、系统架构设计说明/3、物联网项目开发能力扩展评估第一版.pdf,31c835ef,5fcaf06a90a4933e93e3fadf131554c603291b87,650430,650430,OK
docs/架构迭代/1、系统架构设计说明/4、架构深潜前的准备.md,f2ddadb0,da3331924bea8bab725c7b9cd6ed9de372062b5d,21627,21627,OK
docs/架构迭代/1、系统架构设计说明/5、架构深潜之龙隐于渊.md,b747da59,4a8613eebb2f1943c64af24cb9c08413b5096621,17417,17417,OK
docs/架构迭代/1、系统架构设计说明/6、架构深潜切面一之日志系统.md,b747da59,8c807e6b1cf444927891ae6e185c1c647a27e9de,160512,160512,OK
docs/架构迭代/1、系统架构设计说明/7、架构深潜切面零之SDK其实最重要.md,b747da59,3c568beb9828aed7b40387768dc1e80d966b3827,58361,58361,OK
docs/架构迭代/1、系统架构设计说明/8、架构深潜切面零之SDK升级任务修正版.md,b747da59,3b35182e361f595e5d0517d58c84d876ba12566f,38941,38941,OK
docs/架构迭代/1、系统架构设计说明/9、私属向量数据库.md,5e79b0b6,2a19a54ebbb5c2de79ed6a5acf66861fc2bef3d4,12175,12175,OK
docs/架构迭代/1、系统架构设计说明/参考项目（极其重要）.md,31c835ef,f75e31857d2ef93523f265059189bb80b1a77b0e,6635,6635,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/1、项目规则文档最初版本.md,ea78d445,ebc028adf2bc4548a7ebd8a3ee585bed99c4a097,13999,13999,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/2、修正版.md,ea78d445,aa5fdc70cff900e4669651edd01d821264a16872,23094,23094,OK
docs/架构迭代/1、系统架构设计说明/项目规则文档的迭代/3、针对加强版.md,ea78d445,9c7f65bbfcbf56a401c4befc015cc34656dd1c23,18487,18487,OK
